Speaker	GlobalIndex	StartTime	StopTime	Tokens	NGrams	SelfShared	OtherShared	N	OverlapCount	OverlapSeconds	AvgOverlap	Day	Reality
f	0	0:0:21	0:0:26	2	2	0	0	1	0	0	0	1	9
f	1	0:0:19	0:0:28	1	1	0	0	1	0	0	0	1	9
g	2	0:1:26	0:1:32	3	3	0	0	1	0	0	0	1	9
g	3	0:2:14	0:2:17	6	6	0	0	1	0	0	0	1	9
g	4	0:2:28	0:2:28	1	1	0	0	1	0	0	0	1	9
f	5	0:5:25	0:5:30	2	2	0	0	1	0	0	0	1	9
g	6	0:5:45	0:5:45	10	10	0	0	1	0	0	0	1	9
g	7	0:6:36	0:6:37	5	5	2	0	1	0	0	0	1	9
g	8	0:6:54	0:6:56	1	1	0	1	1	0	0	0	1	9
f	9	0:6:54	0:7:0	5	5	0	0	1	1	6	6	1	9
g	10	0:8:30	0:8:30	4	4	0	0	1	0	0	0	1	9
g	11	0:13:41	0:13:46	3	3	0	1	1	0	0	0	1	9
f	12	0:13:43	0:13:47	1	1	0	0	1	1	3	3	1	9
g	13	0:15:7	0:15:10	2	2	1	0	1	0	0	0	1	9
f	14	0:15:11	0:15:15	5	5	0	0	1	0	0	0	1	9
g	15	0:15:12	0:15:21	5	5	0	0	1	1	3	3	1	9
f	16	0:15:59	0:16:8	1	1	0	0	1	0	0	0	1	9
g	17	0:16:49	0:16:53	6	6	0	0	1	0	0	0	1	9
g	18	0:16:57	0:17:1	1	1	0	0	1	0	0	0	1	9
g	19	0:16:55	0:17:3	2	2	0	0	1	0	0	0	1	9
g	20	0:17:43	0:17:48	5	5	0	0	1	0	0	0	1	9
g	21	0:19:32	0:19:34	1	1	0	1	1	0	0	0	1	9
g	22	0:19:35	0:19:35	2	2	0	0	1	0	0	0	1	9
g	23	0:20:43	0:20:49	6	6	0	0	1	0	0	0	1	9
g	24	0:21:22	0:21:29	2	2	1	0	1	0	0	0	1	9
g	25	0:22:4	0:22:4	16	16	2	0	1	0	0	0	1	9
g	27	0:22:29	0:22:35	4	4	1	0	1	0	0	0	1	9
f	26	0:22:34	0:22:35	7	7	0	0	1	1	1	1	1	9
g	28	0:23:18	0:23:21	4	4	0	3	1	0	0	0	1	9
g	29	0:23:43	0:23:52	2	2	0	0	1	0	0	0	1	9
g	30	0:24:26	0:24:35	1	1	0	0	1	0	0	0	1	9
g	31	0:24:35	0:24:43	9	9	0	3	1	0	0	0	1	9
